idx,inf_mu1,sup_mu1,inf_mu2,sup_mu2
472,67.1869118583084,106.83345105839,134.632659347325,190.915971666152
473,67.107169154659,106.772274455035,134.536309241227,190.871397549246
474,67.0273313613303,106.710919171486,134.439855787804,190.826653005933
475,66.9473986657424,106.649385175224,134.343299398411,190.781737779751
476,66.8673712553082,106.587672434036,134.246640485807,190.736651613127
477,66.7872493173663,106.525780916085,134.149879464035,190.69139424751
478,66.707033039288,106.463710589801,134.053016748631,190.645965423149
479,66.626722608562,106.401461423794,133.956052756816,190.600364878913
480,66.5463182126058,106.339033387048,133.858987907094,190.554592352686
481,66.4658200386803,106.276426449001,133.76182261907,190.508647581549
482,66.3852282743449,106.213640579091,133.664557314419,190.462530300814
483,66.3045431069955,106.150675747219,133.567192415906,190.416240245001
484,66.2237647239871,106.087531923627,133.469728347644,190.369777147579
485,66.1428933127393,106.02420907879,133.372165535322,190.323140740744
486,66.0619290606925,105.96070718346,133.274504406112,190.276330755502
487,65.9808721551692,105.897026208806,133.176745388373,190.229346921975
488,65.8997227834988,105.833166126288,133.078888911919,190.182188969126
489,65.8184811332554,105.769126907419,132.980935408522,190.134856624257
490,65.7371473914504,105.704908524572,132.882885310194,190.087349614729
491,65.6557217456092,105.640510949904,132.784739051484,190.039667665661
492,65.5742043829558,105.575934156172,132.686497067738,189.991810501678
493,65.4925954907637,105.511178116379,132.588159795841,189.943777846157
494,65.4108952562244,105.446242803907,132.489727673949,189.895569421505
495,65.3291038665992,105.381128192367,132.391201141801,189.847184948842
496,65.2472215090419,105.315834255771,132.292580640344,189.798624148373
497,65.1652483706397,105.250360968497,132.193866611821,189.74988673931
498,65.0831846385546,105.184708305144,132.095059500073,189.700972439559
499,65.0010304998413,105.118876240712,131.996159750144,189.65188096612
500,64.9187861414266,105.052864750629,131.897167808239,189.602612035127
501,64.8364517503475,104.986673810504,131.798084122237,189.553165361338
502,64.7540275135031,104.920303396383,131.698909141149,189.503540658672
503,64.6715136178201,104.853753484578,131.599643315484,189.453737639848
504,64.588910250096,104.787024051827,131.500287096899,189.40375601673
505,64.5062175970467,104.720115075243,131.400840938301,189.353595500228
506,64.4234358453951,104.653026532228,131.301305294049,189.303255800097
507,64.3405651818554,104.585758400487,131.201680619902,189.252736624982
508,64.2576057930262,104.518310658135,131.101967372801,189.202037682644
509,64.1745578652933,104.450683283794,131.002166010641,189.151158680182
510,64.0914215852099,104.382876256213,130.90227699311,189.1000993232
511,64.0081971390906,104.314889554674,130.80230078079,189.048859316699
512,63.9248847134348,104.246723158567,130.702237836089,188.997438364146
513,63.8414844942862,104.178377048033,130.602088621835,188.945836168887
514,63.7579966679136,104.10985120328,130.50185360276,188.894052432652
515,63.6744214203622,104.041145605032,130.401533244521,188.842086856542
516,63.5907589376274,103.972260234358,130.301128014073,188.789939140654
517,63.5070094056087,103.903195072715,130.200638379566,188.73760898418
518,63.4231730102632,103.833950101794,130.100064810687,188.685096085069
519,63.3392499372312,103.764525303897,129.999407777822,188.632400140866
520,63.2552403722174,103.694920661552,129.898667752899,188.579520847861
521,63.1711445007461,103.625136157761,129.797845208843,188.526457901642
522,63.0869625082948,103.555171775866,129.696940619873,188.473210996798
523,63.00269458014,103.485027499698,129.595954461146,188.419779827267
524,62.9183409017554,103.414703313185,129.49488720965,188.366164085449
525,62.8339016581655,103.344199200997,129.393739342754,188.312363463655
526,62.749377034437,103.273515148049,128.655153789453,188.895735202862
527,62.6647672155042,103.202651139683,128.550749704106,188.844660318972
528,62.5800723862823,103.131607161548,128.4462609451,188.793405124152
