i,x_inf,x_sup,theta_inf,theta_sup,mesh_size_upper,fem_order_upper,mesh_size_lower_cr,isLG,mesh_size_lower_LG,fem_order_lower_LG
2029,0.52263295912545971,0.53041814048889668,0.089846501141164728,0.093438954853559131,0.002000,1,0.002000,0,-,-
2030,0.53041814048889668,0.53832617098348245,0.089846501141164728,0.093438954853559131,0.002000,1,0.002000,0,-,-
2031,0.53832617098348245,0.54635906882605434,0.089846501141164728,0.093438954853559131,0.003490,1,0.003490,0,-,-
2032,0.54635906882605434,0.5545294761830265,0.089846501141164728,0.093438954853559131,0.004791,1,0.004791,0,-,-
2033,0.5545294761830265,0.56284331869638438,0.089846501141164728,0.093438954853559131,0.004850,1,0.004850,0,-,-
2034,0.56284331869638438,0.57130568379749846,0.089846501141164728,0.093438954853559131,0.004913,1,0.004913,0,-,-
2035,0.57130568379749846,0.57991995256485418,0.089846501141164728,0.093438954853559131,0.004979,1,0.004979,0,-,-
2036,0.57991995256485418,0.58868615384191791,0.089846501141164728,0.093438954853559131,0.005046,1,0.005046,0,-,-
2037,0.58868615384191791,0.59760756610146826,0.089846501141164728,0.093438954853559131,0.005103,1,0.005103,0,-,-
2038,0.59760756610146826,0.60669317768981657,0.089846501141164728,0.093438954853559131,0.005163,1,0.005163,0,-,-
2039,0.60669317768981657,0.61594977422174546,0.089846501141164728,0.093438954853559131,0.005227,1,0.005227,0,-,-
2040,0.61594977422174546,0.6253834248609661,0.089846501141164728,0.093438954853559131,0.005294,1,0.005294,0,-,-
2041,0.6253834248609661,0.63499640957144599,0.089846501141164728,0.093438954853559131,0.005366,1,0.005366,0,-,-
2042,0.63499640957144599,0.64479067211860874,0.089846501141164728,0.093438954853559131,0.005434,1,0.005434,0,-,-
2043,0.64479067211860874,0.65476523030598244,0.089846501141164728,0.093438954853559131,0.005498,1,0.005498,0,-,-
2044,0.65476523030598244,0.6649224366034584,0.089846501141164728,0.093438954853559131,0.005565,1,0.005565,0,-,-
2045,0.6649224366034584,0.67527154304055614,0.089846501141164728,0.093438954853559131,0.005636,1,0.005636,0,-,-
2046,0.67527154304055614,0.68581604710657618,0.089846501141164728,0.093438954853559131,0.005711,1,0.005711,0,-,-
2047,0.68581604710657618,0.69655939342631978,0.089846501141164728,0.093438954853559131,0.005786,1,0.005786,0,-,-
2048,0.69655939342631978,0.70748387194448503,0.089846501141164728,0.093438954853559131,0.005854,1,0.005854,0,-,-
2049,0.70748387194448503,0.7185936337944745,0.089846501141164728,0.093438954853559131,0.005926,1,0.005926,0,-,-
2050,0.7185936337944745,0.72989540668259378,0.089846501141164728,0.093438954853559131,0.006002,1,0.006002,0,-,-
2051,0.72989540668259378,0.74139660992124268,0.089846501141164728,0.093438954853559131,0.006083,1,0.006083,0,-,-
2052,0.74139660992124268,0.7530855016945962,0.089846501141164728,0.093438954853559131,0.006160,1,0.006160,0,-,-
2053,0.7530855016945962,0.76494894358865617,0.089846501141164728,0.093438954853559131,0.006234,1,0.006234,0,-,-
2054,0.76494894358865617,0.77698911613055688,0.089846501141164728,0.093438954853559131,0.006312,1,0.006312,0,-,-
2055,0.77698911613055688,0.78921643549798171,0.089846501141164728,0.093438954853559131,0.006393,1,0.006393,0,-,-
2056,0.78921643549798171,0.80162973958143635,0.089846501141164728,0.093438954853559131,0.006478,1,0.006478,0,-,-
2057,0.80162973958143635,0.81421700199341818,0.089846501141164728,0.093438954853559131,0.006553,1,0.006553,0,-,-
2058,0.81421700199341818,0.82696259571709552,0.089846501141164728,0.093438954853559131,0.006632,1,0.006632,0,-,-
2059,0.82696259571709552,0.83987847249773062,0.089846501141164728,0.093438954853559131,0.006715,1,0.006715,0,-,-
2060,0.83987847249773062,0.85298676164541531,0.089846501141164728,0.093438954853559131,0.006802,1,0.006802,0,-,-
2061,0.85298676164541531,0.86628658652326695,0.089846501141164728,0.093438954853559131,0.006878,1,0.006878,0,-,-
2062,0.86628658652326695,0.87973061924224361,0.089846501141164728,0.093438954853559131,0.006957,1,0.006957,0,-,-
2063,0.87973061924224361,0.89332671584406187,0.089846501141164728,0.093438954853559131,0.007039,1,0.007039,0,-,-
2064,0.89332671584406187,0.90722908779059752,0.089846501141164728,0.093438954853559131,0.007123,1,0.007123,0,-,-
2065,0.90722908779059752,0.92137462356982991,0.089846501141164728,0.093438954853559131,0.007195,1,0.007195,0,-,-
2066,0.92137462356982991,0.93565413736122083,0.089846501141164728,0.093438954853559131,0.007270,1,0.007270,0,-,-
2067,0.93565413736122083,0.95047821377382835,0.089846501141164728,0.093438954853559131,0.007351,1,0.007351,0,-,-
2068,0.95047821377382835,0.96673961915725626,0.089846501141164728,0.093438954853559131,0.007424,1,0.007424,0,-,-
2069,0.96673961915725626,0.98313052339649154,0.089846501141164728,0.093438954853559131,0.007490,1,0.007490,0,-,-
2070,0.98313052339649154,1.0009999999999999,0.089846501141164728,0.093438954853559131,0.007568,1,0.007568,0,-,-
2071,0.5,0.50742599432285007,0.093438954853559131,0.097152823304622465,0.002000,1,0.002000,0,-,-
2072,0.50742599432285007,0.5149696194782355,0.093438954853559131,0.097152823304622465,0.002000,1,0.002000,0,-,-
2073,0.5149696194782355,0.52263295912545971,0.093438954853559131,0.097152823304622465,0.002537,1,0.002537,0,-,-
2074,0.52263295912545971,0.53041814048889668,0.093438954853559131,0.097152823304622465,0.004772,1,0.004772,0,-,-
2075,0.53041814048889668,0.53832617098348245,0.093438954853559131,0.097152823304622465,0.004829,1,0.004829,0,-,-
2076,0.53832617098348245,0.54635906882605434,0.093438954853559131,0.097152823304622465,0.004891,1,0.004891,0,-,-
2077,0.54635906882605434,0.5545294761830265,0.093438954853559131,0.097152823304622465,0.004955,1,0.004955,0,-,-
2078,0.5545294761830265,0.56284331869638438,0.093438954853559131,0.097152823304622465,0.005023,1,0.005023,0,-,-
