i,j,x_inf,x_sup,th_inf,th_sup,y_inf,y_sup,sup_lam2,inf_lam3
25,10,0.74347981931717977,0.75362481178872942,0.43753300650042209,0.44750810491898912,0.35562929874495119,0.35562929874495219,292.72622373217092,406.84124668494752
26,10,0.75362481178872887,0.76376980426027863,0.43753300650042209,0.44750810491898912,0.36044749046469593,0.36044749046469698,288.13508585198718,402.34111612912005
27,10,0.76376980426027807,0.77391479673182784,0.43753300650042209,0.44750810491898912,0.36526568218444061,0.36526568218444172,283.71405576221093,397.81452624709055
28,10,0.77391479673182728,0.78405978920337693,0.43753300650042209,0.44750810491898912,0.37008387390418535,0.3700838739041864,279.45531597274925,393.59458654580243
29,10,0.78405978920337638,0.79420478167492614,0.43753300650042209,0.44750810491898912,0.37490206562393003,0.37490206562393114,275.35201342373938,388.93063416293927
30,10,0.79420478167492559,0.80434977414647535,0.43753300650042209,0.44750810491898912,0.37972025734367476,0.37972025734367587,271.39709665384493,385.09889861993599
31,10,0.80434977414647479,0.81449476661802445,0.43753300650042209,0.44750810491898912,0.38453844906341944,0.38453844906342055,267.58434639047516,380.90618422825355
32,10,0.81449476661802389,0.82463975908957377,0.43753300650042209,0.44750810491898912,0.38935664078316423,0.38935664078316534,263.90789516023347,377.06026465617026
33,10,0.8246397590895731,0.83478475156112286,0.43753300650042209,0.44750810491898912,0.39417483250290886,0.39417483250291008,260.3616339711603,373.24609815725569
34,10,0.8347847515611222,0.84492974403267207,0.43753300650042209,0.44750810491898912,0.39899302422265359,0.39899302422265476,256.94020088608374,369.37381090028276
35,10,0.8449297440326714,0.85507473650422117,0.43753300650042209,0.44750810491898912,0.40381121594239827,0.40381121594239949,253.63725244582304,365.69845235683135
36,10,0.8550747365042205,0.86521972897577037,0.43753300650042209,0.44750810491898912,0.40862940766214306,0.40862940766214428,250.44897237326836,361.66749098090429
37,10,0.86521972897576971,0.87536472144731958,0.43753300650042209,0.44750810491898912,0.41344759938188774,0.41344759938188896,247.36954399430138,357.7918134834747
38,10,0.87536472144731892,0.88550971391886868,0.43753300650042209,0.44750810491898912,0.41826579110163248,0.4182657911016337,244.39468749381521,354.28135605871336
39,10,0.88550971391886801,0.89565470639041789,0.43753300650042209,0.44750810491898912,0.42308398282137716,0.42308398282137843,241.51956521884813,350.50384802178104
40,10,0.89565470639041722,0.90579969886196698,0.43753300650042209,0.44750810491898912,0.42790217454112189,0.42790217454112311,238.74001467609952,346.57347691793524
i,j,x_inf,x_sup,th_inf,th_sup,y_inf,y_sup,sup_lam2,inf_lam3
1,100,0.5,0.50038197150638175,1.0294633267368845,1.0304434681720847,0.83345922598435307,0.83345922598435718,126.57366986320503,128.84400502326784
2,100,0.50038197150638164,0.5007639430127635,1.0294633267368845,1.0304434681720847,0.83406092560107703,0.83406092560108158,126.5010110515845,128.71835127342894
3,100,0.50076394301276328,0.50114591451914525,1.0294633267368845,1.0304434681720847,0.83466262521780121,0.83466262521780576,126.42831253018359,128.59321988792453
4,100,0.50114591451914492,0.50152788602552689,1.0294633267368845,1.0304434681720847,0.8352643248345254,0.83526432483452995,126.35556418596312,128.46856272070173
5,100,0.50152788602552667,0.50190985753190864,1.0294633267368845,1.0304434681720847,0.83586602445124947,0.83586602445125413,126.28275504706465,128.34439247893124
6,100,0.50190985753190831,0.50229182903829039,1.0294633267368845,1.0304434681720847,0.83646772406797365,0.83646772406797831,126.20987347805662,128.22070786614367
7,100,0.50229182903828995,0.50267380054467214,1.0294633267368845,1.0304434681720847,0.83706942368469772,0.83706942368470261,126.13690707659791,128.09756450623047
8,100,0.5026738005446717,0.50305577205105378,1.0294633267368845,1.0304434681720847,0.83767112330142179,0.83767112330142679,126.06384263118954,127.97493623337772
9,100,0.50305577205105334,0.50343774355743554,1.0294633267368845,1.0304434681720847,0.83827282291814598,0.83827282291815097,125.99066599274545,127.85283798920841
10,100,0.50343774355743498,0.50381971506381729,1.0294633267368845,1.0304434681720847,0.83887452253487016,0.83887452253487516,125.9173620039666,127.73133037876399
